date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3
2021-03-05,12668.51,0.030037206034922995,12636.66196580508,13144.034700861592,12890.348333333335,12701.894386452504,13152.475613547513,12927.185000000007,12382.975598276826,13397.721068389843,12890.348333333335,12476.603772905,13377.766227095017,12927.185000000007,0,0,0,0
2021-03-04,12464.0,-0.016143177058707048,12565.621428296905,13111.323571703098,12838.472500000002,12656.848076465296,13110.970923534722,12883.909500000007,12292.770356593808,13384.174643406197,12838.472500000002,12429.786652930583,13338.032347069431,12883.909500000007,0,0,0,0
2021-03-03,12683.33,0.017597079589216857,12546.931465910442,13099.40353408956,12823.1675,12637.74021451667,13089.26778548335,12863.50400000001,12270.695431820885,13375.639568179122,12823.1675,12411.97642903333,13315.03157096669,12863.50400000001,0,0,0,0
2021-03-02,13059.95,0.029694094531956594,12561.582929846165,13129.887070153836,12845.735,12641.73433725375,13101.61566274627,12871.67500000001,12277.43085969233,13414.03914030767,12845.735,12411.793674507493,13331.556325492527,12871.67500000001,0,0,0,0
2021-03-01,13282.95,0.01707510365659903,12558.326939678776,13146.571393654558,12852.449166666667,12640.463248528735,13134.607751471282,12887.535500000007,12264.204712690886,13440.693620642449,12852.449166666667,12393.390997057464,13381.680002942554,12887.535500000007,0,1,0,0
2021-02-26,12909.44,-0.02811950658550999,12552.598824494797,13111.826175505204,12832.2125,12637.848911953564,13130.254088046455,12884.05150000001,12272.985148989597,13391.439851010406,12832.2125,12391.64632390712,13376.456676092903,12884.05150000001,0,0,0,0
2021-02-25,12828.31,-0.006284548361509157,12542.700680958902,13079.352652374431,12811.026666666667,12641.06631965532,13131.8166803447,12886.44150000001,12274.374695251141,13347.678638082194,12811.026666666667,12395.691139310633,13377.191860689387,12886.44150000001,0,0,0,0
2021-02-24,13302.19,0.03694017372514402,12538.991891826245,13143.878108173754,12841.435,12650.386750662043,13172.827249337975,12911.607000000007,12236.548783652494,13446.321216347507,12841.435,12389.166501324074,13434.047498675945,12911.607000000007,0,0,0,0
2021-02-23,13194.71,-0.008079872562337553,12539.246114682062,13167.258885317939,12853.2525,12652.537872097671,13188.368127902351,12920.45300000001,12225.239729364124,13481.265270635877,12853.2525,12384.622744195332,13456.283255804687,12920.45300000001,0,0,0,0
2021-02-22,13223.74,0.0022001241406595096,12563.222387531856,13221.894279134807,12892.558333333332,12653.236305923692,13201.392694076332,12927.314500000011,12233.886441730381,13551.230224936287,12892.558333333332,12379.158111847371,13475.470888152651,12927.314500000011,0,0,0,0
2021-02-19,13580.78,0.026999925890859974,12576.03127965658,13340.133720343416,12958.0825,12653.066690627564,13272.941309372458,12963.004000000012,12193.980059313166,13722.184940686831,12958.0825,12343.129381255118,13582.878618744908,12963.004000000012,0,0,0,0
2021-02-18,13637.51,0.004177226933946399,12702.362042841194,13436.874623825472,13069.618333333336,12664.070339677919,13346.774660322104,13005.422500000011,12335.105752349054,13804.130914317613,13069.618333333336,12322.718179355825,13688.1268206442,13005.422500000011,0,0,0,0
2021-02-17,13699.71,0.004560949909477641,12770.470545110733,13540.6327882226,13155.551666666664,12657.195201353608,13403.382798646417,13030.289000000012,12385.3894235548,13925.713909778533,13155.551666666664,12284.101402707207,13776.47659729282,13030.289000000012,0,0,0,0
2021-02-16,13773.77,0.0054059538486581635,12908.947178121587,13620.451155211744,13264.699166666665,12653.329034772625,13469.397965227405,13061.363500000014,12553.195189576509,13976.203143756822,13264.699166666665,12245.294569545229,13877.432430454795,13061.363500000014,0,0,0,0
2021-02-12,13807.7,0.0024633778551550467,13022.152249360315,13694.641083973018,13358.396666666667,12656.711720038127,13538.531279961897,13097.621500000012,12685.907832053965,14030.88550127937,13358.396666666667,12215.801940076246,13979.441059923776,13097.621500000012,0,0,0,0
2021-02-11,13734.35,-0.005312253307936943,13076.41535356181,13752.777979771523,13414.596666666665,12676.264477747642,13598.68452225239,13137.474500000017,12738.234040456953,14090.959292876381,13414.596666666665,12215.054455495263,14059.894544504763,13137.474500000017,0,0,0,0
2021-02-10,13655.27,-0.005757826180343485,13103.560929953403,13787.68573671326,13445.623333333333,12692.730368294266,13642.455631705765,13167.593000000012,12761.498526573474,14129.748140093188,13445.623333333333,12217.867736588512,14117.318263411516,13167.593000000012,0,0,0,0
2021-02-09,13687.08,0.00232950355430539,13207.788470335168,13813.064862998159,13510.426666666664,12736.525484904048,13692.161515095979,13214.343500000015,12905.150274003674,14115.703059329655,13510.426666666664,12258.707469808081,14169.979530191946,13214.343500000015,0,0,1,0
2021-02-08,13695.02,0.0005801091248096579,13366.554593648409,13798.750406351584,13582.652499999995,12780.769173159299,13737.970826840732,13259.370000000017,13150.45668729682,14014.848312703172,13582.652499999995,12302.168346318582,14216.571653681447,13259.370000000017,0,0,0,0
2021-02-05,13603.96,-0.006649132312329664,13410.572076704973,13805.027923295018,13607.799999999996,12897.656213914628,13751.571786085402,13324.614000000018,13213.344153409951,14002.255846590042,13607.799999999996,12470.698427829244,14178.529572170792,13324.614000000018,0,0,0,0
2021-02-04,13560.89,-0.003165989902940036,13488.081663819255,13788.548336180735,13638.314999999995,12968.634575467564,13769.831424532471,13369.233000000017,13337.848327638516,13938.781672361474,13638.314999999995,12568.036150935111,14170.429849064922,13369.233000000017,0,0,0,0
2021-02-03,13402.37,-0.011689498255645359,13544.736694185607,13761.664972481047,13653.200833333327,13076.900993220359,13755.402006779674,13416.151500000016,13436.272555037891,13870.129111628767,13653.200833333327,12737.650486440709,14094.652513559326,13416.151500000016,0,0,0,0
2021-02-02,13456.12,0.004010484712778428,13521.56510736638,13764.059892633608,13642.812499999995,13162.662952050256,13746.919047949776,13454.791000000017,13400.317714732768,13885.30728526722,13642.812499999995,12870.534904100494,14039.047095899536,13454.791000000017,0,0,0,0
2021-02-01,13248.9,-0.015399684307214943,13444.114183012425,13776.74248365423,13610.428333333328,13182.687932881086,13745.789067118943,13464.238500000018,13277.80003269152,13943.056633975137,13610.428333333328,12901.137365762155,14027.339634237876,13464.238500000018,0,0,0,0
2021-01-29,12925.38,-0.0244186309806852,13290.839559680471,13800.962106986184,13545.900833333328,13142.243171462049,13750.476828537981,13446.360000000017,13035.778286027613,14056.023380639042,13545.900833333328,12838.126342924084,14054.593657075944,13446.360000000017,0,0,0,1
2021-01-28,13201.53,0.021364942462039904,13236.229177143221,13760.199156190107,13498.214166666665,13177.689788930871,13744.23921106916,13460.964500000016,12974.244187619775,14022.184145713547,13498.214166666665,12894.415077861728,14027.513922138303,13460.964500000016,0,0,0,0
2021-01-27,13112.65,-0.006732552969239247,13176.127777037043,13704.458889629612,13440.293333333328,13219.542415448665,13730.820584551371,13475.181500000017,12911.96222074076,13968.624445925896,13440.293333333328,12963.90333089731,13986.459669102725,13475.181500000017,0,0,0,0
2021-01-26,13490.19,0.028792044323611158,13171.557242856798,13668.336090476529,13419.94666666666,13232.202557111723,13736.960442888312,13484.581500000017,12923.167819046928,13916.725514286394,13419.94666666666,12979.823614223433,13989.339385776604,13484.581500000017,0,0,0,0
2021-01-25,13483.29,-0.000511482788604134,13167.27969168228,13643.950308317713,13405.614999999994,13256.000889393566,13742.02011060646,13499.010500000017,12928.944383364566,13882.285616635427,13405.614999999994,13012.991278787122,13985.029721212908,13499.010500000017,0,0,0,0
2021-01-22,13366.4,-0.008669249122432388,13157.617147210407,13600.16618612292,13378.891666666665,13269.632250812243,13742.654749187788,13506.143500000017,12936.342627754153,13821.440705579174,13378.891666666665,13033.121001624473,13979.16599837556,13506.143500000017,0,0,0,0
2021-01-21,13404.99,0.002887090016758353,13156.47546424894,13552.969535751055,13354.722499999994,13260.496262764324,13734.211737235708,13497.354000000018,12958.228428497881,13751.216571502111,13354.722499999994,13023.63852552863,13971.069474471402,13497.354000000018,0,0,0,0
2021-01-20,13296.45,-0.008096984779548455,13146.759089662173,13511.434243671154,13329.096666666665,13241.79327279651,13718.80872720352,13480.301000000018,12964.421512657684,13693.771820675647,13329.096666666665,13003.285545593013,13957.316454407022,13480.301000000018,0,0,0,0
