,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_7,Exit_signal_long_7,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
122,2020-12-29,12843.49,0.00036062391832292207,12772.698071560075,12704.684876439707,12635.434059814297,12564.822172061326,12209.01132035402,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
123,2020-12-30,12845.36,0.00014559905446276392,12796.918714373383,12730.262171632488,12661.67480233751,12591.540060436435,12233.966170536218,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
124,2020-12-31,12888.28,0.0033412843236779732,12827.372476248926,12758.992685881123,12690.00045204532,12619.801007061538,12259.625536397543,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
125,2021-01-04,12694.66,-0.0150229510842409,12783.134984165952,12747.29583390274,12690.582895539656,12626.930434960439,12276.685711440776,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
126,2021-01-05,12802.38,0.008485457664876295,12789.549989443967,12757.311136829512,12704.557533597199,12643.639917345161,12297.301173737216,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
127,2021-01-06,12623.35,-0.013984118577951787,12734.149992962646,12732.954566496872,12694.406591897548,12641.707544264673,12310.08740221811,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
128,2021-01-07,12939.57,0.025050402626877855,12802.623328641765,12770.521008951984,12725.052017910357,12670.075397191844,12334.772994287989,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
129,2021-01-08,13105.2,0.012800270797252322,12903.482219094512,12831.37173459708,12772.57051567156,12711.515835554526,12364.9858180414,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
130,2021-01-11,12902.49,-0.015467905869425924,12903.151479396345,12844.3023283067,12788.810451212617,12729.703851216002,12386.064413412329,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
131,2021-01-12,12892.09,-0.0008060459647710737,12899.464319597559,12852.9909958873,12801.72039481104,12745.16919871924,12405.908554062824,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
132,2021-01-13,12973.63,0.006324808467827793,12924.18621306504,12874.925360271423,12823.20909545966,12766.927370269785,12428.172140178009,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
133,2021-01-14,12898.69,-0.005776332452829268,12915.687475376697,12879.246203858438,12832.644208527205,12779.476192148855,12446.62382095534,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
134,2021-01-15,12803.93,-0.0073464824722511155,12878.434983584466,12865.552348611447,12829.054932461302,12781.805126229918,12460.6358279767,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
135,2021-01-19,12996.54,0.01504303756737202,12917.803322389644,12889.368285227549,12849.99056590364,12802.256066588972,12481.651677859963,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
136,2021-01-20,13296.45,0.02307614180389539,13044.018881593098,12963.383142458904,12905.797995165683,12849.322155485259,12513.604553238009,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
137,2021-01-21,13404.99,0.008163081123156779,13164.342587728734,13043.675298375469,12968.196995769975,12902.242902581904,12548.56084526789,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
138,2021-01-22,13366.4,-0.002878778723445552,13231.695058485826,13102.352516852654,13017.972371298729,12946.448340431247,12580.63296898287,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
139,2021-01-25,13483.29,0.008745062245630875,13315.560038990547,13171.613877424898,13076.137074886385,12997.576117533032,12616.031283924724,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
140,2021-01-26,13490.19,0.0005117445371269902,13373.770025993701,13229.536808802188,13127.893690525589,13044.491725387028,12650.31201788846,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
141,2021-01-27,13112.65,-0.027986262610089296,13286.730017329135,13208.28466174724,13125.988229209888,13050.982989635879,12668.442919147737,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
142,2021-01-28,13201.53,0.0067781874754531115,13258.330011552758,13207.05654142956,13135.430950558652,13065.32080014675,12689.348294867432,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
143,2021-01-29,12925.38,-0.020918029955618863,13147.346674368506,13155.842624806,13109.17458173882,13051.99310489468,12698.604440166753,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
144,2021-02-01,13248.9,0.025029825041894327,13181.197782912337,13172.762147568545,13126.640259021468,13070.746142523758,12720.184658199423,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
145,2021-02-02,13456.12,0.015640543743254298,13272.83852194156,13224.281757101535,13167.825226643785,13107.448414664354,12749.0448676818,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
146,2021-02-03,13402.37,-0.003994464972072231,13316.015681294375,13256.66143762853,13197.14332331331,13135.536184696315,12774.665461106046,0,0,1,0,98968.17290030637,0,0.08279468491240737,0
