date,close,ROI,BBL_12_1.0,BBU_12_1.0,BBM_12_1.0,BBL_20_1.0,BBU_20_1.0,BBM_20_1.0,BBL_12_2.0,BBU_12_2.0,BBM_12_2.0,BBL_20_2.0,BBU_20_2.0,BBM_20_2.0
2020-10-23,11692.57,0.016345749322874692,11175.04953068036,11905.615469319659,11540.33250000001,11343.336278775743,12020.383721224272,11681.860000000008,10809.766561360713,12270.898438639306,11540.33250000001,11004.81255755148,12358.907442448535,11681.860000000008
2020-10-26,11504.52,-0.008141254165247691,11171.42052721843,11897.864472781588,11534.642500000009,11350.316098536148,12034.790901463866,11692.553500000007,10808.198554436849,12261.086445563169,11534.642500000009,11008.078697072291,12377.028302927723,11692.553500000007
2020-10-27,11598.95,0.04094048512217796,11189.684131238879,11944.33586876114,11567.01000000001,11370.224100291225,12055.024899708793,11712.624500000009,10812.358262477746,12321.661737522272,11567.01000000001,11027.823700582441,12397.425299417577,11712.624500000009
2020-10-28,11142.76,-0.018323034445331232,11201.267213146202,11970.784453520482,11586.025833333342,11385.88907067055,12087.445929329464,11736.667500000007,10816.508592959062,12355.543073707622,11586.025833333342,11035.110641341093,12438.224358658921,11736.667500000007
2020-10-29,11350.74,0.02694212857201017,11282.633967641257,12021.93103235876,11652.282500000008,11454.142008594066,12120.138991405947,11787.140500000007,10912.985435282508,12391.57956471751,11652.282500000008,11121.143517188128,12453.137482811886,11787.140500000007
2020-10-30,11052.95,-0.002869705794261601,11337.50090828049,12077.50409171953,11707.50250000001,11500.284062371275,12164.743937628738,11832.514000000006,10967.49931656097,12447.505683439049,11707.50250000001,11168.054124742543,12496.97387525747,11832.514000000006
2020-11-02,11084.76,-0.017300669952153847,11471.333073415866,12097.76192658415,11784.547500000008,11602.59289113189,12183.972108868124,11893.282500000007,11158.118646831726,12410.97635316829,11784.547500000008,11311.903282263775,12474.661717736239,11893.282500000007
2020-11-03,11279.91,-0.04221016861650917,11629.06738104936,12075.01928561732,11852.04333333334,11713.260022661869,12210.361977338142,11961.811000000005,11406.091428765383,12297.995237901298,11852.04333333334,11464.709045323732,12458.912954676278,11961.811000000005
2020-11-04,11777.02,-0.02492533989288015,11777.39392870342,12044.279404629922,11910.836666666672,11804.9113017972,12236.360698202812,12020.636000000006,11643.95119074017,12177.722142593173,11910.836666666672,11589.186603594393,12452.085396405619,12020.636000000006
2020-11-05,12078.07,-0.0010983058136602164,11794.91755782664,12048.325775506706,11921.621666666673,11825.679737464267,12284.603262535747,12055.141500000007,11668.213448986608,12175.029884346739,11921.621666666673,11596.217974928526,12514.065025071488,12055.141500000007
2020-11-06,12091.35,0.022058444396169552,11790.543920105541,12024.01107989447,11907.277500000006,11824.910669125362,12330.413330874653,12077.662000000008,11673.810340211077,12140.744659788934,11907.277500000006,11572.159338250718,12583.164661749297,12077.662000000008
2020-11-09,11830.39,0.01773011512961209,11791.200201312387,12021.431465354292,11906.31583333334,11824.766343267362,12381.069656732652,12102.918000000007,11676.084569291435,12136.547097375244,11906.31583333334,11546.614686534716,12659.221313465297,12102.918000000007
2020-11-10,11624.29,-0.022588209970125006,11801.074197646854,12065.19580235316,11933.135000000007,11848.746839839578,12437.622160160436,12143.184500000007,11669.0133952937,12197.256604706316,11933.135000000007,11554.309179679149,12732.059820320865,12143.184500000007
2020-11-11,11892.93,0.0055626296805484365,11862.143158809988,12109.780174523356,11985.961666666672,11908.796078631949,12451.607921368064,12180.202000000007,11738.324650953304,12233.59868238004,11985.961666666672,11637.390157263892,12723.013842736122,12180.202000000007
2020-11-12,11827.14,-0.009273034317766049,11873.284118076348,12161.204215256997,12017.244166666673,11938.772552216025,12472.512447783985,12205.642500000005,11729.324069486025,12305.16426384732,12017.244166666673,11671.902604432047,12739.382395567964,12205.642500000005
2020-11-13,11937.84,-0.00628798889238491,11890.996827293398,12248.189839373277,12069.593333333338,11979.274217082057,12486.837782917959,12233.056000000008,11712.400321253459,12426.786345413217,12069.593333333338,11725.492434164105,12740.61956583591,12233.056000000008
2020-11-16,12013.38,0.002996454181969588,11908.152034749757,12317.462965250252,12112.807500000004,12010.56101575143,12507.987984248584,12259.274500000007,11703.49656949951,12522.118430500499,12112.807500000004,11761.847531502852,12756.701468497162,12259.274500000007
2020-11-17,11977.49,0.006959396235805659,11925.146026819517,12376.093973180492,12150.620000000004,12035.91825483893,12540.884745161084,12288.401500000007,11699.672053639031,12601.567946360978,12150.620000000004,11783.435009677854,12793.36799032216,12288.401500000007
2020-11-18,11894.71,-0.007569190258505665,11954.062094157058,12439.009572509623,12196.53583333334,12067.993593140427,12577.87640685959,12322.935000000009,11711.588354980773,12681.483311685908,12196.53583333334,11813.052186280844,12832.817813719174,12322.935000000009
2020-11-19,11985.43,0.006634224839666691,12007.383731711267,12502.647934955414,12255.01583333334,12114.602594119377,12617.002405880641,12365.802500000009,11759.751630089195,12750.280036577486,12255.01583333334,11863.402688238742,12868.202311761275,12365.802500000009
2020-11-20,11906.44,4.199584409136925e-05,12054.87016457359,12563.54316875976,12309.206666666674,12155.864748579846,12651.015251420169,12403.440000000008,11800.533662480502,12817.879670852846,12309.206666666674,11908.289497159687,12898.590502840329,12403.440000000008
2020-11-23,11905.94,-0.014393438307390483,12126.87121444695,12567.908785553063,12347.390000000007,12216.785848113825,12668.476151886192,12442.631000000008,11906.352428893893,12788.42757110612,12347.390000000007,11990.940696227639,12894.321303772378,12442.631000000008
2020-11-24,12079.81,-0.005958582053320338,12217.479836975652,12559.933496357693,12388.706666666672,12288.043113038322,12678.380886961695,12483.212000000009,12046.253007284633,12731.160326048712,12388.706666666672,12092.874226076638,12873.54977392338,12483.212000000009
2020-11-25,12152.22,-0.008646450011869589,12271.924128253602,12554.755871746409,12413.340000000006,12338.152463189112,12685.604536810908,12511.87850000001,12130.508256507199,12696.171743492812,12413.340000000006,12164.426426378213,12859.330573621806,12511.87850000001
2020-11-27,12258.21,-0.0008240737118041519,12323.894282225967,12554.450717774045,12439.172500000006,12382.853239301876,12696.782760698145,12539.81800000001,12208.616064451928,12669.728935548084,12439.172500000006,12225.888478603742,12853.747521396279,12539.81800000001
2020-11-30,12268.32,-0.015014455658742043,12359.23334269669,12575.396657303325,12467.315000000008,12413.018924776792,12724.682075223227,12568.85050000001,12251.151685393374,12683.478314606642,12467.315000000008,12257.187349553573,12880.513650446446,12568.85050000001
2020-12-01,12455.33,-8.670234842944602e-05,12397.981511240381,12603.288488759634,12500.635000000007,12447.17920102397,12748.038798976046,12597.609000000008,12295.328022480757,12705.941977519258,12500.635000000007,12296.749402047932,12898.468597952084,12597.609000000008
2020-12-02,12456.41,-0.0008598610907241122,12401.141391112835,12649.583608887182,12525.362500000008,12460.924976360826,12773.29602363919,12617.110500000008,12276.920282225661,12773.804717774356,12525.362500000008,12304.739452721644,12929.481547278372,12617.110500000008
2020-12-03,12467.13,-0.004896843032833997,12412.775045174776,12684.911621491903,12548.84333333334,12476.179977438893,12801.228022561125,12638.704000000009,12276.706757016214,12820.979909650465,12548.84333333334,12313.655954877779,12963.752045122239,12638.704000000009
2020-12-04,12528.48,-0.00539754391508096,12428.338758804228,12706.536241195787,12567.437500000007,12492.304502610225,12807.85649738979,12650.080500000007,12289.240017608448,12845.634982391566,12567.437500000007,12334.52850522044,12965.632494779575,12650.080500000007
