date,close,ROI,RSI_2,RSI_6,RSI_14,Entry_signal_long_7,Exit_signal_long_7,Entry_signal_short_7,Exit_signal_short_7
2020-10-14,11985.36,0.0072941538352928595,96.24694818721213,72.2595495083892,55.79044469827592,0,0,0,0
2020-10-13,12083.17,0.008160789496518994,98.23134051247513,76.36312282685712,58.19594011440042,0,0,0,0
2020-10-12,12088.11,0.0004088331125027267,98.32101393702808,76.57315576791855,58.31929371483458,0,0,0,0
2020-10-09,11725.85,-0.029968291155523907,11.654848313981194,42.97185470375682,47.29755364558343,0,0,0,0
2020-10-08,11550.94,-0.014916615853008519,6.295861741861827,34.261090892971374,43.0655427759887,0,0,0,0
2020-10-07,11503.19,-0.00413386269862015,5.032451546686307,32.127601785576736,41.961706512676095,0,1,1,0
2020-10-06,11291.27,-0.01842271578579513,1.8094397726222948,24.126312022494563,37.38216091481164,0,0,0,0
2020-10-05,11509.06,0.019288352860218568,57.610173759948566,41.954194678754284,44.13046959341659,0,0,0,0
2020-10-02,11255.69,-0.022014830055625656,24.807786826657942,31.591416992831878,38.880778431445854,0,0,0,0
2020-10-01,11583.2,0.029097283240743232,69.58234717323917,50.54090805590957,47.56396457294139,0,0,0,0
2020-09-30,11418.06,-0.01425685475516281,43.475262186658725,43.2858360497599,44.15739589368648,0,0,0,0
2020-09-29,11322.95,-0.00832978632096859,30.356035049654654,39.37905457804633,42.27926806759879,0,0,0,0
2020-09-28,11364.45,0.0036651226049748686,44.873171527303775,42.11460949485035,43.410276553506336,0,0,0,0
2020-09-25,11151.13,-0.01877081600957386,14.277429963872551,32.944568444609516,39.16240346659161,0,0,0,0
2020-09-24,10896.47,-0.022837147446043597,5.4329749571293675,25.111642405472303,34.78617934959048,0,0,0,0
2020-09-23,10833.33,-0.005794537129914512,4.156251817925144,23.452604276288625,33.778327074260105,0,1,1,0
2020-09-22,11186.37,0.03258831771948256,73.58145917127621,46.96303163407461,43.61518365114113,0,0,0,0
2020-09-21,10980.22,-0.01842867704179296,39.86110404340703,38.645890148018474,39.889084805141096,0,0,0,0
2020-09-18,10936.98,-0.003937990313490958,33.43363886174518,36.99672248998088,39.133893886615475,0,0,0,0
2020-09-17,11080.95,0.013163597263595728,67.90062466973177,46.17413183024442,43.00312552512253,0,0,0,0
2020-09-16,11247.6,0.015039324245664787,85.40077170123419,55.232229274906786,47.18815524247718,0,0,0,0
2020-09-15,11438.87,0.017005405597638745,93.5156590421713,63.6559199575772,51.58233268623962,0,0,0,0
2020-09-14,11277.76,-0.014084433165164056,48.29373559965918,53.4837092489707,47.962345844344384,0,0,0,0
2020-09-11,11087.4,-0.016879238430326682,22.5382960812193,43.60412685282535,44.030491433410724,0,0,0,0
2020-09-10,11154.12,0.006017641647275474,43.616744893688995,47.66978774471636,45.71037386341961,0,0,0,0
2020-09-09,11395.85,0.02167181274721797,81.02704199097819,60.15757193756157,51.40163191823393,0,0,0,0
2020-09-08,11068.26,-0.028746429621309574,28.955426214866566,43.3388887451809,44.580981103261,0,0,0,0
