,date,close,ROI,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
2294,2021-03-10 9:00,1718.53,-0.000994047,2.253044216,-0.062166865,2.3152110809999997,0,0,0,0,0,0,99969.69515053852,0,0.0,0
2295,2021-03-10 10:00,1719.19,0.000384049,2.527717792,0.170005369,2.357712423,1,0,0,1,1,0,98969.69515053852,-1000,0.5816692744839139,0
2296,2021-03-10 11:00,1719.57,0.00022103400000000003,2.7207654160000003,0.290442395,2.430323022,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2297,2021-03-10 12:00,1719.45,-6.979999999999999e-05,2.786541203,0.284974545,2.501566658,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2298,2021-03-10 13:00,1723.34,0.002262351,3.2875636530000003,0.6287975960000001,2.658766057,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2299,2021-03-10 14:00,1724.1,0.000441004,3.675204504,0.8131507579999999,2.8620537460000004,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2300,2021-03-10 15:00,1725.5,0.0008120180000000001,4.058885823,0.957465661,3.1014201619999997,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2301,2021-03-10 16:00,1726.71,0.0007012460000000001,4.40706684,1.0445173429999999,3.362549497,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2302,2021-03-10 17:00,1726.63,-4.6299999999999994e-05,4.553718733999999,0.9529353890000001,3.600783345,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2303,2021-03-10 18:00,1726.79,9.27e-05,4.586427776,0.788515545,3.797912231,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2304,2021-03-10 19:00,1724.95,-0.001065561,4.2752841130000006,0.381897505,3.893386607,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2305,2021-03-10 20:00,1726.39,0.000834807,4.158005076,0.211694775,3.946310301,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2306,2021-03-10 21:00,1730.22,0.0022185020000000002,4.494009695,0.438159515,4.05585018,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2307,2021-03-10 22:00,1731.85,0.0009420769999999999,4.854841048,0.639192694,4.215648353,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2308,2021-03-10 23:00,1732.32,0.000271386,5.073613902,0.6863724390000001,4.3872414630000005,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2309,2021-03-11 0:00,1735.73,0.0019684579999999998,5.5735823060000005,0.949072675,4.624509632,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2310,2021-03-11 1:00,1732.83,-0.001670767,5.4336896160000006,0.6473439879999999,4.7863456289999995,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2311,2021-03-11 2:00,1736.65,0.002204486,5.7266202470000005,0.752219695,4.974400552,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2312,2021-03-11 3:00,1738.92,0.0013071139999999998,6.116134426,0.913387099,5.202747327,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2313,2021-03-11 4:00,1733.69,-0.003007614,5.581222542999999,0.302780173,5.27844237,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2314,2021-03-11 5:00,1736.07,0.0013727939999999999,5.402775302,0.099466346,5.303308957,0,0,0,0,1,0,98969.69515053852,0,0.5816692744839139,0
2315,2021-03-11 6:00,1733.4,-0.001537956,4.816847449,-0.389169206,5.206016655,0,1,1,0,0,0,99977.96067092894,1008,0.0,0
2316,2021-03-11 7:00,1735.52,0.00122303,4.583628817,-0.497910271,5.0815390869999995,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2317,2021-03-11 8:00,1729.88,-0.003249746,3.5855221310000003,-1.1968135659999999,4.7823356960000005,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2318,2021-03-11 9:00,1722.86,-0.004058085,1.8855371580000002,-2.31743883,4.202975989,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2319,2021-03-11 10:00,1725.66,0.001625205,1.013112689,-2.5518906390000002,3.5650033289999996,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2320,2021-03-11 11:00,1724.49,-0.000678001,0.222143617,-2.674287769,2.896431386,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2321,2021-03-11 12:00,1723.75,-0.000429112,-0.43878691200000003,-2.668174638,2.2293877269999998,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2322,2021-03-11 13:00,1724.65,0.000522117,-0.7790653270000001,-2.4067624430000003,1.627697116,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2323,2021-03-11 14:00,1724.78,7.54e-05,-0.986856827,-2.0916431540000002,1.104786327,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2324,2021-03-11 15:00,1723.93,-0.000492816,-1.225459769,-1.864196877,0.6387371079999999,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2325,2021-03-11 16:00,1722.6,-0.000771493,-1.5440586219999999,-1.746236584,0.202177962,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2326,2021-03-11 17:00,1722.42,-0.00010449299999999999,-1.761773799,-1.5711614090000001,-0.19061239,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2327,2021-03-11 18:00,1722.83,0.000238037,-1.826284049,-1.308537327,-0.517746722,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2328,2021-03-11 19:00,1724.58,0.0010157710000000002,-1.60520475,-0.8699664220000001,-0.735238327,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2329,2021-03-11 20:00,1724.97,0.000226142,-1.365245553,-0.504005781,-0.861239773,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2330,2021-03-11 21:00,1719.65,-0.003084112,-1.866582575,-0.8042742420000001,-1.062308333,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2331,2021-03-11 22:00,1718.48,-0.000680371,-2.336990922,-1.019746071,-1.3172448509999999,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2332,2021-03-11 23:00,1718.96,0.000279317,-2.559360644,-0.993692635,-1.56566801,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2333,2021-03-12 0:00,1718.24,-0.00041885800000000003,-2.75943296,-0.95501196,-1.8044209999999998,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2334,2021-03-12 1:00,1712.01,-0.003625803,-3.663232921,-1.4870495369999999,-2.176183384,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2335,2021-03-12 2:00,1710.28,-0.001010508,-4.45545041,-1.823413621,-2.6320367890000003,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2336,2021-03-12 3:00,1706.61,-0.002145847,-5.4075142839999994,-2.220381995,-3.187132288,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2337,2021-03-12 4:00,1701.59,-0.002941504,-6.630639966,-2.754806142,-3.875833824,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2338,2021-03-12 5:00,1703.35,0.001034327,-7.130412872999999,-2.60366324,-4.526749634,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2339,2021-03-12 6:00,1703.4,2.94e-05,-7.333173255,-2.245138897,-5.088034358,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2340,2021-03-12 7:00,1706.53,0.001837501,-6.917384166000001,-1.463479846,-5.453904318999999,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2341,2021-03-12 8:00,1705.49,-0.000609424,-6.620212402999999,-0.933046467,-5.687165936,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2342,2021-03-12 9:00,1706.28,0.00046321,-6.172611915,-0.388356784,-5.784255132,0,0,0,0,0,0,99977.96067092894,0,0.0,0
2343,2021-03-12 10:00,1707.33,0.000615374,-5.593548704,0.152565142,-5.746113846,1,0,0,1,1,0,98977.96067092894,-1000,0.5857098510539849,0
2344,2021-03-12 11:00,1718.2,0.006366666,-3.6437353480000003,1.681902798,-5.325638147,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
2345,2021-03-12 12:00,1719.57,0.0007973460000000001,-2.011569635,2.651254809,-4.662824445,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
2346,2021-03-12 13:00,1724.63,0.0029425959999999996,-0.152430856,3.608314871,-3.7607457269999998,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
2347,2021-03-12 14:00,1722.75,-0.001090089,0.91832244,3.743254533,-2.824932093,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
2348,2021-03-12 15:00,1724.0,0.0007255839999999999,1.821010176,3.716753815,-1.89574364,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
2349,2021-03-12 16:00,1727.11,0.001803944,2.830869985,3.7812909,-0.950420915,0,0,0,0,1,0,98977.96067092894,0,0.5857098510539849,0
