,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
893,2020-12-15 8:00,1853.02,0.005191353,73.40976288,0,0,0,1,0,0,99957.13572581962,0,0.0,0.0
894,2020-12-15 9:00,1851.09,-0.001041543,69.25147208,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
895,2020-12-15 10:00,1848.3,-0.00150722,63.63945405,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
896,2020-12-15 11:00,1849.24,0.000508575,64.67804170000001,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
897,2020-12-15 12:00,1850.45,0.0006543230000000001,66.02339081,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
898,2020-12-15 13:00,1851.93,0.000799805,67.6465882,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
899,2020-12-15 14:00,1852.07,7.56e-05,67.80328275,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
900,2020-12-15 15:00,1854.49,0.001306646,70.46601713,0,0,0,1,0,0,99957.13572581962,0,0.0,0.0
901,2020-12-15 16:00,1853.64,-0.00045834699999999995,68.32851538,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
902,2020-12-15 17:00,1853.33,-0.00016723900000000002,67.52404024,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
903,2020-12-15 18:00,1852.59,-0.000399281,65.54034889,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
904,2020-12-15 19:00,1851.94,-0.00035086,63.76825578,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
905,2020-12-15 20:00,1851.91,-1.62e-05,63.68267197,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
906,2020-12-15 21:00,1857.17,0.002840311,71.02534993,0,0,0,1,0,0,99957.13572581962,0,0.0,0.0
907,2020-12-15 22:00,1857.58,0.00022076599999999998,71.50889032,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
908,2020-12-15 23:00,1857.06,-0.000279934,69.91524881,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
909,2020-12-16 0:00,1855.46,-0.000861577,65.1072818,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
910,2020-12-16 1:00,1857.43,0.001061731,68.02307794,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
911,2020-12-16 2:00,1854.22,-0.001728194,59.32394676,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
912,2020-12-16 3:00,1861.74,0.004055614,69.24629623,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
913,2020-12-16 4:00,1865.06,0.001783278,72.44240765,0,0,0,1,0,0,99957.13572581962,0,0.0,0.0
914,2020-12-16 5:00,1863.3,-0.000943669,68.38503564,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
915,2020-12-16 6:00,1862.35,-0.000509848,66.22880847,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
916,2020-12-16 7:00,1857.87,-0.002405563,57.08740584,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
917,2020-12-16 8:00,1851.6,-0.003374832,47.25634779,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
918,2020-12-16 9:00,1854.3,0.001458198,51.15704957,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
919,2020-12-16 10:00,1857.47,0.00170954,55.333740299999995,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
920,2020-12-16 11:00,1854.55,-0.001572031,51.00692972,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
921,2020-12-16 12:00,1854.91,0.000194117,51.51035061,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
922,2020-12-16 13:00,1857.13,0.001196824,54.60785839,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
923,2020-12-16 14:00,1861.28,0.002234631,59.78015646,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
924,2020-12-16 15:00,1864.59,0.001778346,63.36570262,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
925,2020-12-16 16:00,1864.8,0.000112625,63.5874924,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
926,2020-12-16 17:00,1864.38,-0.000225225,62.76900207,0,0,0,0,0,0,99957.13572581962,0,0.0,0.0
