,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
155,2021-02-17,13699.71,-0.0053768869999999995,62.09518016,0,0,0,0,0,0,100000.0,0,0,0
156,2021-02-18,13637.51,-0.004540242,59.41507859,0,0,0,0,0,0,100000.0,0,0,0
157,2021-02-19,13580.78,-0.00415985,56.99869777,0,0,0,0,0,0,100000.0,0,0,0
158,2021-02-22,13223.74,-0.026290095,44.68209347,0,0,0,0,0,0,100000.0,0,0,0
159,2021-02-23,13194.71,-0.002195294,43.85236888,0,0,0,0,0,0,100000.0,0,0,0
160,2021-02-24,13302.19,0.008145689000000001,47.722955400000004,0,0,0,0,0,0,100000.0,0,0,0
161,2021-02-25,12828.31,-0.035624209,35.95440742,0,0,0,0,0,0,100000.0,0,0,0
162,2021-02-26,12909.44,0.006324294,38.73970998,0,0,0,0,0,0,100000.0,0,0,0
163,2021-03-01,13282.95,0.028933091,49.60571415,0,0,0,0,0,0,100000.0,0,0,0
164,2021-03-02,13059.95,-0.016788439,44.52754794,0,0,0,0,0,0,100000.0,0,0,0
165,2021-03-03,12683.33,-0.028837783,37.53826529,0,0,0,0,0,0,100000.0,0,0,0
166,2021-03-04,12464.0,-0.017292777,34.17407936,0,0,0,0,0,0,100000.0,0,0,0
167,2021-03-05,12668.51,0.016408055,39.60883925,0,0,0,0,0,0,100000.0,0,0,0
168,2021-03-08,12299.08,-0.029161283,34.12746186,0,0,0,0,0,0,100000.0,0,0,0
169,2021-03-09,12794.49,0.040280249,45.09958153,0,0,0,0,0,0,100000.0,0,0,0
170,2021-03-10,12752.07,-0.00331549,44.41735375,0,0,0,0,0,0,100000.0,0,0,0
171,2021-03-11,13052.9,0.02359068,50.17374489,0,0,0,0,0,0,100000.0,0,0,0
172,2021-03-12,12937.29,-0.008857036,48.11159708,0,0,0,0,0,0,100000.0,0,0,0
173,2021-03-15,13082.54,0.011227235,50.84507599,0,0,0,0,0,0,100000.0,0,0,0
