date,close,ROI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Entry_signal_long_4,Exit_signal_long_4,Entry_signal_short_4,Exit_signal_short_4
2021-03-26 12:00,1732.46,-0.001003344,0.196430785,0.882571292,-0.686140506,0,0,0,0
2021-03-26 13:00,1732.04,-0.00024243,0.389988787,0.860903435,-0.470914648,0,0,0,0
2021-03-26 14:00,1731.4,-0.000369506,0.486138347,0.765642396,-0.279504049,0,0,0,0
2021-03-26 15:00,1731.8,0.000231027,0.587837993,0.693873633,-0.10603564,0,0,0,0
2021-03-26 16:00,1732.52,0.000415752,0.718254091,0.659431785,0.058822306,0,0,0,0
2021-03-28 18:00,1731.26,-0.000727264,0.711733893,0.52232927,0.189404623,0,0,0,0
2021-03-28 19:00,1731.19,-4.04E-05,0.692930503,0.402820704,0.290109799,0,0,0,0
2021-03-28 20:00,1731.23,2.31E-05,0.673492742,0.306706354,0.366786388,0,0,0,0
2021-03-28 21:00,1731.6,0.000213721,0.680104265,0.250654302,0.429449963,0,0,0,0
2021-03-28 22:00,1731.89,0.000167475,0.700667661,0.216974158,0.483693503,0,0,0,0
2021-03-28 23:00,1729.51,-0.001374221,0.518936217,0.028194171,0.490742046,0,0,0,0
2021-03-29 0:00,1728.05,-0.00084417,0.254172991,-0.189255243,0.443428235,0,1,1,0
2021-03-29 1:00,1728.67,0.000358786,0.093299547,-0.28010295,0.373402497,0,0,0,0
2021-03-29 2:00,1725.13,-0.002047817,-0.316197305,-0.551679842,0.235482537,0,0,0,0
2021-03-29 3:00,1726.47,0.000776753,-0.526530198,-0.609610188,0.08307999,0,0,0,0
2021-03-29 4:00,1724.78,-0.000978876,-0.820135396,-0.722572309,-0.097563087,0,0,0,0
2021-03-29 5:00,1724.73,-2.90E-05,-1.044810291,-0.757797763,-0.287012528,0,0,0,0
2021-03-29 6:00,1727.11,0.001379926,-1.01907341,-0.585648706,-0.433424704,0,0,0,0
2021-03-29 7:00,1726.3,-0.000468992,-1.0519112,-0.494789196,-0.557122003,0,0,0,0
2021-03-29 8:00,1724.04,-0.001309158,-1.245936121,-0.551051294,-0.694884827,0,0,0,0
2021-03-29 9:00,1711.17,-0.007465024,-2.410417912,-1.372426468,-1.037991444,0,0,0,0
2021-03-29 10:00,1710.98,-0.000111035,-3.310448741,-1.817965838,-1.492482903,0,0,0,0
2021-03-29 11:00,1711.63,0.000379899,-3.926023337,-1.946832347,-1.97919099,0,0,0,0
2021-03-29 12:00,1713.38,0.001022417,-4.223968979,-1.795822391,-2.428146588,0,0,0,0
2021-03-29 13:00,1711.73,-0.000963009,-4.540889708,-1.690194496,-2.850695212,0,0,0,0
2021-03-29 14:00,1710.77,-0.000560836,-4.81402259,-1.570661902,-3.243360687,0,0,0,0
2021-03-29 15:00,1711.39,0.00036241,-4.923696242,-1.344268444,-3.579427798,0,0,0,0
2021-03-29 16:00,1712.2,0.000473299,-4.88889701,-1.04757537,-3.841321641,0,0,0,0
2021-03-29 17:00,1712.76,0.000327065,-4.761246364,-0.735939779,-4.025306585,0,0,0,0
2021-03-29 18:00,1711.77,-0.000578014,-4.685950315,-0.528514984,-4.157435331,0,0,0,0
2021-03-29 19:00,1712.04,0.000157731,-4.552018079,-0.315666198,-4.236351881,0,0,0,0
2021-03-29 20:00,1713.33,0.000753487,-4.292304583,-0.044762162,-4.247542421,0,0,0,0
2021-03-29 21:00,1710.46,-0.001675101,-4.268856065,-0.017050915,-4.25180515,0,0,0,0
2021-03-29 22:00,1706.27,-0.002449633,-4.536081801,-0.227421321,-4.30866048,0,0,0,0
2021-03-29 23:00,1707.52,0.000732592,-4.594038355,-0.228302299,-4.365736055,0,0,0,0
2021-03-30 0:00,1707.86,0.000199119,-4.55996969,-0.155386908,-4.404582782,0,0,0,0
2021-03-30 1:00,1705.29,-0.001504807,-4.686326495,-0.22539497,-4.460931525,0,0,0,0
2021-03-30 2:00,1703.07,-0.001301831,-4.909012578,-0.358464843,-4.550547736,0,0,0,0
2021-03-30 3:00,1697.27,-0.003405615,-5.490216632,-0.751735117,-4.738481515,0,0,0,0
2021-03-30 4:00,1698.04,0.00045367,-5.82158486,-0.866482676,-4.955102184,0,0,0,0
2021-03-30 5:00,1696.18,-0.001095381,-6.163237063,-0.966507903,-5.19672916,0,0,0,0
2021-03-30 6:00,1693.18,-0.00176868,-6.59999321,-1.12261124,-5.47738197,0,0,0,0
2021-03-30 7:00,1688.22,-0.002929399,-7.262636992,-1.428204018,-5.834432974,0,0,0,0
2021-03-30 8:00,1683.8,-0.002618142,-8.051629848,-1.773757499,-6.277872349,0,0,0,0
2021-03-30 9:00,1687.87,0.002417152,-8.253357813,-1.580388371,-6.672969442,0,0,0,0
2021-03-30 10:00,1684.33,-0.002097318,-8.599744591,-1.54142012,-7.058324472,0,0,0,0
2021-03-30 11:00,1686.97,0.001567389,-8.562529166,-1.203363755,-7.35916541,0,0,0,0
2021-03-30 12:00,1685.59,-0.000818035,-8.545878571,-0.949370529,-7.596508043,0,0,0,0
2021-03-30 13:00,1684.32,-0.000753445,-8.536754845,-0.752197442,-7.784557403,0,0,0,0
2021-03-30 14:00,1681.83,-0.001478341,-8.63095415,-0.677117398,-7.953836753,0,0,0,0
2021-03-30 15:00,1682.61,0.000463781,-8.54417635,-0.472271678,-8.071904672,0,0,0,0
2021-03-30 16:00,1685.2,0.001539275,-8.172208828,-0.080243325,-8.091965503,0,0,0,0
2021-03-30 17:00,1685.36,9.49E-05,-7.774887164,0.253662671,-8.028549835,1,0,0,1
2021-03-30 18:00,1683.38,-0.001174823,-7.532941278,0.396486846,-7.929428124,0,0,0,0
2021-03-30 19:00,1685.72,0.00139006,-7.070870383,0.686846192,-7.757716576,0,0,0,0
2021-03-30 20:00,1684.44,-0.000759319,-6.73037757,0.821871205,-7.552248775,0,0,0,0
2021-03-30 21:00,1682.26,-0.001294199,-6.560813371,0.793148323,-7.353961694,0,0,0,0
2021-03-30 22:00,1678.38,-0.002306421,-6.662712492,0.552999361,-7.215711854,0,0,0,0
2021-03-30 23:00,1679.68,0.000774556,-6.562915935,0.522236735,-7.08515267,0,0,0,0
2021-03-31 0:00,1679.48,-0.00011907,-6.425891101,0.527409255,-6.953300356,0,0,0,0
2021-03-31 1:00,1683.83,0.002590087,-5.898297386,0.844002376,-6.742299762,0,0,0,0
2021-03-31 2:00,1686.56,0.001621304,-5.199945645,1.233883294,-6.433828939,0,0,0,0
2021-03-31 3:00,1684.21,-0.001393369,-4.781009715,1.322255379,-6.103265094,0,0,0,0
2021-03-31 4:00,1686.13,0.00114,-4.245136725,1.486502695,-5.73163942,0,0,0,0
2021-03-31 5:00,1685.96,-0.000100823,-3.790476841,1.552930063,-5.343406904,0,0,0,0
2021-03-31 6:00,1687.2,0.000735486,-3.292148136,1.641007014,-4.933155151,0,0,0,0
2021-03-31 7:00,1684.94,-0.001339497,-3.044487206,1.510934355,-4.555421562,0,0,0,0
2021-03-31 8:00,1687.87,0.001738934,-2.582023661,1.578718321,-4.160741982,0,0,0,0
2021-03-31 9:00,1697.49,0.005699491,-1.422862493,2.190303591,-3.613166084,0,0,0,0
2021-03-31 10:00,1704.11,0.003899876,0.029618335,2.914227536,-2.8846092,0,0,0,0
2021-03-31 11:00,1708.29,0.002452893,1.500711654,3.508256683,-2.007545029,0,0,0,0
2021-03-31 12:00,1712.02,0.00218347,2.933725374,3.953016323,-1.019290949,0,0,0,0
2021-03-31 13:00,1710.91,-0.000648357,3.934477145,3.963014475,-0.02853733,0,0,0,0
2021-03-31 14:00,1707.9,-0.001759298,4.433590616,3.569702357,0.863888259,0,0,0,0
2021-03-31 15:00,1707.64,-0.000152234,4.753367944,3.111583748,1.641784196,0,0,0,0
2021-03-31 16:00,1707.71,4.10E-05,4.955320347,2.650828921,2.304491426,0,0,0,0
2021-03-31 17:00,1707.68,-1.76E-05,5.054681115,2.200151751,2.854529364,0,0,0,0
2021-03-31 18:00,1707.84,9.37E-05,5.087688199,1.786527068,3.301161131,0,0,0,0
2021-03-31 19:00,1707.55,-0.000169805,5.032435195,1.385019251,3.647415944,0,0,0,0
2021-03-31 20:00,1707.36,-0.000111271,4.91663942,1.015378781,3.901260639,0,0,0,0
2021-03-31 21:00,1710.76,0.001991379,5.041111226,0.91188047,4.129230756,0,0,0,0
2021-03-31 22:00,1712.02,0.000736515,5.181696132,0.841972301,4.339723832,0,0,0,0
2021-03-31 23:00,1712.92,0.000525695,5.304585205,0.771889099,4.532696106,0,0,0,0
2021-04-01 0:00,1711.31,-0.000939915,5.211981656,0.54342844,4.668553216,0,0,0,0
2021-04-01 1:00,1714.85,0.002068591,5.362426378,0.555098529,4.807327849,0,0,0,0
2021-04-01 2:00,1715.44,0.000344053,5.466251429,0.527138864,4.939112565,0,0,0,0
2021-04-01 3:00,1718.46,0.001760481,5.72621406,0.629681196,5.096532864,0,0,0,0
2021-04-01 4:00,1716.15,-0.001344227,5.680358981,0.467060893,5.213298087,0,0,0,0
2021-04-01 5:00,1714.83,-0.000769164,5.474400056,0.208881575,5.265518481,0,0,0,0
2021-04-01 6:00,1713.33,-0.000874722,5.13099178,-0.10762136,5.238613141,0,1,1,0
2021-04-01 7:00,1717.11,0.00220623,5.105005333,-0.106886246,5.211891579,0,0,0,0
2021-04-01 8:00,1718.96,0.001077392,5.17404723,-0.030275479,5.204322709,0,0,0,0
2021-04-01 9:00,1723.96,0.002908736,5.568036782,0.290971258,5.277065524,1,0,0,1
2021-04-01 10:00,1728.69,0.002743683,6.190586582,0.730816846,5.459769736,0,0,0,0
2021-04-01 11:00,1728.2,-0.000283452,6.568702959,0.887146579,5.68155638,0,0,0,0
2021-04-01 12:00,1726.03,-0.001255642,6.616985558,0.748343342,5.868642216,0,0,0,0
2021-04-01 13:00,1728.28,0.001303569,6.758893741,0.71220122,6.046692521,0,0,0,0
2021-04-01 14:00,1726.93,-0.000781123,6.685358628,0.510932886,6.174425742,0,0,0,0
