,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_short_5,Exit_signal_short_5,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
1017,2020-12-22 13:00:00,1862.36,-0.002896502245993915,1866.3500844705843,1868.9834474684505,1870.8335945580216,1872.3254415002727,1876.427936119897,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1018,2020-12-22 14:00:00,1864.76,0.0012886874718101016,1865.8200563137232,1868.215547928732,1870.0743952382693,1871.6049232621522,1875.970369997548,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1019,2020-12-22 15:00:00,1861.32,-0.0018447414144447949,1864.3200375424826,1866.9618119416891,1868.9800958334852,1870.6254067609948,1875.3958456839187,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1020,2020-12-22 16:00:00,1860.84,-0.0002578815034491866,1863.1600250283216,1865.8487552250185,1867.9625838543,1869.6934632599475,1874.8250282061176,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1021,2020-12-22 17:00:00,1860.4,-0.00023645235485036944,1862.2400166855482,1864.8580724568333,1867.0172608725125,1868.8083715209048,1874.259340825486,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1022,2020-12-22 18:00:00,1864.33,0.0021124489357127185,1862.9366777903647,1864.7620592828641,1866.6813532634485,1868.3818599474853,1873.8699549107607,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1023,2020-12-22 19:00:00,1863.76,-0.00030573986365067807,1863.2111185269105,1864.5798666859796,1866.3161841055176,1867.9416828096296,1873.4734860907315,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1024,2020-12-22 20:00:00,1865.99,0.0011965059878955575,1864.1374123512733,1864.836254561256,1866.2754110923279,1867.755808256332,1873.1800160479572,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1025,2020-12-22 21:00:00,1865.79,-0.000107181710512938,1864.6882749008487,1865.0096628228453,1866.2147347057874,1867.568588422396,1872.890211497057,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
1026,2020-12-22 22:00:00,1864.9,-0.0004770097385021765,1864.7588499338995,1864.989724127783,1866.0503928675641,1867.314437144072,1872.576869869722,0,0,0,-1,101020.64257475673,0,0,0.5335069009117632
